		output1	output2	output3	output4	output4	output5	output5	output6	output7	output8	output9	output1	output1	output1	output1	output1
		sz	sz	sz	lo	mu	sz	sz	sz	sz	sz	sz	sz	sz	sz	lo	sz
!M	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BaVi	10	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0
BoGe	7	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0
CsCsKá	8	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0
DaPa	8	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0
FaGe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FoDá	12	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0
GaZs	12	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0
juMá	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
JáNi	12	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0
NéBa	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PaDá	10	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0
PoLe	7	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0
SoCs	8	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0
SzBe	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SzGyPé	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
SzGá	10	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1
ÁgMá	10	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0
ÜkFa	7	1	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0

